ID,Title,Work Item Type,State,Effort,Value Area,Iteration Path,Tags
284,Actualizar recomendaciones dinámicamente,Task,To Do,,,Trabajo de Grado - Tutor inteligente\Sprint 6,
285,HU 3.2.4 Dar retrospectiva sobre contenido acádemico,Product Backlog Item,New,,Business,Trabajo de Grado - Tutor inteligente\Sprint 7,
286,Permitir calificación de recursos,Task,To Do,,,Trabajo de Grado - Tutor inteligente\Sprint 7,
287,Registrar calificaciones,Task,To Do,,,Trabajo de Grado - Tutor inteligente\Sprint 7,
288,Validar valores de calificación,Task,To Do,,,Trabajo de Grado - Tutor inteligente\Sprint 7,
289,Asociar calificación al estudiante,Task,To Do,,,Trabajo de Grado - Tutor inteligente\Sprint 7,
290,Actualizar métricas de recursos,Task,To Do,,,Trabajo de Grado - Tutor inteligente\Sprint 7,
5,Tema 4 - Seguimiento y retroalimentación,Epic,New,,Business,Trabajo de Grado - Tutor inteligente\Sprint 1,
15,Épica 4.1 - Visualización de progreso,Feature,New,,Business,Trabajo de Grado - Tutor inteligente\Sprint 1,
291,HU 4.1.1 Progreso de aprendizaje,Product Backlog Item,New,,Business,Trabajo de Grado - Tutor inteligente\Sprint 7,
292,Registrar avance del estudiante,Task,To Do,,,Trabajo de Grado - Tutor inteligente\Sprint 7,
293,Calcular progreso en la ruta,Task,To Do,,,Trabajo de Grado - Tutor inteligente\Sprint 7,
294,Mostrar estado de avance,Task,To Do,,,Trabajo de Grado - Tutor inteligente\Sprint 7,
295,Identificar pendientes,Task,To Do,,,Trabajo de Grado - Tutor inteligente\Sprint 7,
296,Actualizar progreso dinámicamente,Task,To Do,,,Trabajo de Grado - Tutor inteligente\Sprint 7,
297,HU 4.1.2 Metricas por estudiante,Product Backlog Item,New,,Business,Trabajo de Grado - Tutor inteligente\Sprint 7,
298,Consolidar resultados de evaluaciones,Task,To Do,,,Trabajo de Grado - Tutor inteligente\Sprint 7,
299,Generar métricas de desempeño,Task,To Do,,,Trabajo de Grado - Tutor inteligente\Sprint 7,
